,PBE,NN_PBE,NN_XALPHA,x
0,1.5848223716312422,1.5874651560232746,1.1684599085861826,-7.0
1,1.584758629663493,1.5874023403689497,1.168459262373896,-6.999719994399888
2,1.584694876861527,1.5873398013688862,1.1684588045849031,-6.999439988799776
3,1.5846311132301574,1.5872772128049246,1.168458209053946,-6.999159983199664
4,1.5845673387742047,1.5872145747010973,1.1684576388376948,-6.998879977599552
5,1.5845035534984933,1.5871517241369777,1.168457256851523,-6.99859997199944
6,1.5844397574078486,1.5870891499699114,1.1684566556876104,-6.998319966399328
7,1.5843759505071022,1.5870266891382323,1.1684561612234583,-6.998039960799216
8,1.58431213280109,1.586963853044453,1.1684555291192769,-6.997759955199104
9,1.5842483042946511,1.5869011303340794,1.1684551664600455,-6.997479949598992
10,1.584184464992628,1.5868383581572727,1.1684546661380448,-6.99719994399888
11,1.5841206148998677,1.5867756992707207,1.1684541095964618,-6.996919938398768
12,1.5840567540212214,1.5867129908951672,1.1684534968592077,-6.996639932798656
13,1.583992882361544,1.586650233054598,1.1684530719434612,-6.996359927198544
14,1.583928999925694,1.5865874257729933,1.16845259077409,-6.996079921598432
15,1.5838651067185343,1.5865245690743186,1.1684520533750085,-6.99579991599832
16,1.5838012027449309,1.586461825538997,1.1684512972136645,-6.995519910398208
17,1.583737288009755,1.5863990325640607,1.1684510537651946,-6.995239904798096
18,1.5836733625178816,1.5863363526594898,1.168450510253586,-6.994959899197984
19,1.583609426274187,1.5862736232927945,1.1684499917628364,-6.994679893597872
20,1.5835454792835555,1.5862105196567415,1.1684494170562354,-6.99439988799776
21,1.5834815215508726,1.5861476915080788,1.168448704967478,-6.994119882397648
22,1.583417553081028,1.5860849763143587,1.1684483426088796,-6.993839876797536
23,1.5833535738789155,1.5860220493739057,1.168447842810347,-6.993559871197424
24,1.5832895839494339,1.5859592353659082,1.168447286785988,-6.993279865597312
25,1.5832255832974835,1.5858965342087794,1.1684468367993863,-6.9929998599972
26,1.5831615719279715,1.5858334592073824,1.1684462494621568,-6.992719854397088
27,1.5830975498458062,1.5857706592740812,1.1684457681049933,-6.992439848796976
28,1.5830335170559011,1.5857076478191985,1.1684452305121098,-6.992159843196864
29,1.5829694735631739,1.585644911269352,1.1684447988064943,-6.991879837596752
30,1.5829054193725463,1.5855818011817981,1.1684441487787156,-6.99159983199664
31,1.5828413544889413,1.5855191279354013,1.168443766644561,-6.991319826396528
32,1.5827772789172896,1.5854559192756432,1.1684433282297566,-6.9910398207964155
33,1.582713192662524,1.5853931472941323,1.1684425906202809,-6.990759815196304
34,1.5826490957295796,1.585330002081228,1.1684421207302882,-6.9904798095961915
35,1.5825849881233982,1.5852671314250966,1.168441513652015,-6.99019980399608
36,1.582520869848923,1.5852042114324005,1.1684410931686517,-6.9899197983959676
37,1.5824567409111037,1.5851410803087749,1.168440535509698,-6.989639792795856
38,1.5823926013148906,1.5850778999664992,1.168440083426433,-6.989359787195744
39,1.5823284510652402,1.585015155673797,1.1684394942153549,-6.989079781595632
40,1.5822642901671131,1.584952038573662,1.1684388488094681,-6.98879977599552
41,1.5822001186254728,1.5848890339343409,1.1684383897496677,-6.988519770395408
42,1.582135936445285,1.5848258183885962,1.1684379552591462,-6.988239764795296
43,1.5820717436315224,1.5847628768892164,1.1684373028973232,-6.987959759195184
44,1.5820075401891593,1.5846997245311145,1.168436675152536,-6.987679753595072
45,1.581943326123175,1.584636846056899,1.1684363143029557,-6.98739974799496
46,1.581879101438552,1.5845734337658999,1.1684357356537116,-6.987119742394848
47,1.5818148661402773,1.5845104568043002,1.1684351815355312,-6.986839736794736
48,1.5817506202333405,1.5844472691493792,1.1684348133526592,-6.986559731194624
49,1.5816863637227367,1.5843843551236272,1.168433985379939,-6.986279725594512
50,1.5816220966134624,1.5843209077264102,1.1684335853996264,-6.9859997199944
51,1.5815578189105208,1.5842578952639566,1.1684332098009345,-6.985719714394288
52,1.5814935306189175,1.5841946722734586,1.16843253596936,-6.985439708794176
53,1.5814292317436607,1.5841314001416318,1.1684320478601267,-6.985159703194064
54,1.5813649222897643,1.5840685625614253,1.168431422893681,-6.984879697593952
55,1.5813006022622453,1.5840053533015805,1.1684309029284685,-6.98459969199384
56,1.5812362716661243,1.5839419337487368,1.168430407306935,-6.984319686393728
57,1.5811719305064271,1.5838787873861886,1.1684299360005463,-6.984039680793616
58,1.5811075787881799,1.583815591861519,1.168429488980775,-6.983759675193504
59,1.5810432165164159,1.5837525082469195,1.1684286635981225,-6.983479669593392
60,1.5809788436961711,1.583689214434466,1.1684282651533453,-6.98319966399328
61,1.580914460332485,1.5836258715312457,1.1684278909096784,-6.982919658393168
62,1.5808500664304015,1.5835626405047112,1.1684272189512688,-6.982639652793056
63,1.5807856619949672,1.5834995212739527,1.1684268126397952,-6.982359647192943
64,1.5807212470312337,1.5834360311363256,1.1684259478571528,-6.982079641592832
65,1.5806568215442547,1.5833729745200997,1.1684256703425888,-6.9817996359927195
66,1.5805923855390902,1.5833093863100924,1.1684250952784978,-6.981519630392608
67,1.5805279390208018,1.5832460706904499,1.168424463999615,-6.9812396247924955
68,1.5804634819944556,1.583182866741298,1.1684238568970224,-6.980959619192384
69,1.580399014465121,1.583119613682208,1.168423434641922,-6.9806796135922715
70,1.5803345364378723,1.5830563115369338,1.1684228757717876,-6.98039960799216
71,1.5802700479177856,1.5829927996992437,1.168422421307678,-6.9801196023920475
72,1.5802055489099431,1.5829295600827908,1.1684216696810914,-6.979839596791936
73,1.5801410394194289,1.5828662713817154,1.1684213435940607,-6.979559591191824
74,1.580076519451332,1.5828029336197558,1.1684208006550139,-6.979279585591712
75,1.5800119890107438,1.58273922583917,1.1684201212375802,-6.9789995799916
76,1.5799474481027613,1.582676111008075,1.1684198670135806,-6.978719574391488
77,1.5798828967324834,1.5826127866269335,1.1684191553774068,-6.978439568791376
78,1.5798183349050137,1.5825489320510615,1.1684184677729037,-6.978159563191264
79,1.5797537626254592,1.5824858304299767,1.1684179645233352,-6.977879557591152
80,1.579689179898931,1.5824223590479436,1.1684175653376616,-6.97759955199104
81,1.5796245867305434,1.5823586784193184,1.1684169495712666,-6.977319546390928
82,1.5795599831254143,1.582295269414064,1.1684164378469366,-6.977039540790816
83,1.5794953690886666,1.582231971634781,1.1684159499779654,-6.976759535190704
84,1.579430744625425,1.5821683044673398,1.1684154058471514,-6.976479529590592
85,1.5793661097408194,1.5821049087163765,1.168414805478329,-6.97619952399048
86,1.5793014644399828,1.582041463980368,1.1684144691121807,-6.975919518390368
87,1.579236808728052,1.5819778102092739,1.1684136762325303,-6.975639512790256
88,1.5791721426101664,1.5819142676089015,1.1684131472990693,-6.975359507190144
89,1.5791074660914717,1.5818506760944802,1.1684124821166146,-6.975079501590032
90,1.5790427791771142,1.581787355628915,1.1684121606699078,-6.97479949598992
91,1.5789780818722456,1.5817236662879708,1.1684114630153828,-6.974519490389808
92,1.5789133741820225,1.5816602479044533,1.1684111089361577,-6.974239484789695
93,1.578848656111602,1.5815966206971686,1.1684103788008093,-6.973959479189584
94,1.578783927666147,1.5815329446246946,1.1684099920803879,-6.973679473589471
95,1.578719188850824,1.581469379506946,1.1684091495573334,-6.97339946798936
96,1.5786544396708022,1.5814059252636004,1.1684088899660223,-6.973119462389247
97,1.578589680131256,1.5813421026333478,1.1684083344160292,-6.972839456789136
98,1.5785249102373615,1.5812783909247392,1.1684076427794197,-6.972559451189023
99,1.5784601299942995,1.5812149497152472,1.1684073739340808,-6.972279445588912
100,1.5783953394072547,1.5811511403282188,1.1684064900418614,-6.9719994399887995
101,1.5783305384814152,1.581087601349057,1.1684061086097066,-6.971719434388688
102,1.5782657272219727,1.5810240134858746,1.1684055910823525,-6.9714394287885755
103,1.578200905634122,1.5809605362816188,1.1684052565741878,-6.971159423188464
104,1.5781360737230625,1.5808966912018925,1.16840454675677,-6.9708794175883515
105,1.5780712314939964,1.5808329568282893,1.1684039402119122,-6.97059941198824
106,1.5780063789521301,1.5807690142494661,1.1684030383206943,-6.9703194063881275
107,1.5779415161026735,1.5807055011168099,1.168402877239143,-6.970039400788016
108,1.5778766429508397,1.5806419391034285,1.1684022613741119,-6.9697593951879036
109,1.5778117595018462,1.5805781689210028,1.1684016689443464,-6.969479389587792
110,1.5777468657609124,1.5805141906967513,1.1684010202831336,-6.96919938398768
111,1.5776819617332642,1.5804506415292063,1.1684006338999504,-6.968919378387568
112,1.5776170474241282,1.5803868842978852,1.1684001911947826,-6.968639372787456
113,1.5775521228387368,1.5803229191299377,1.1683995330176602,-6.968359367187344
114,1.5774871879823242,1.5802592235702875,1.1683990573441279,-6.968079361587232
115,1.5774222428601299,1.5801953201211045,1.1683982867283758,-6.96779935598712
116,1.577357287477395,1.5801316861202521,1.1683978576305358,-6.967519350387008
