feature,n,pearson,spearman,target
train_vxc_delta_e441_500,30,-0.6315137315500645,-0.725027808676307,wtmad
train_exc_mean_e161_240,30,0.3845591843601755,0.6913201890181704,avrane
train_exc_mean_e73_160,30,0.7335784684208858,0.6904626423519553,avrane
train_exc_delta_e161_240,30,0.27317223487387826,0.6870380956243896,avrane
train_vxc_delta_e73_160,30,-0.71757653794679,-0.6812693766163652,avrane
val_vxc_delta_e73_160,30,-0.728856172890259,-0.678366240068284,avrane
train_vxc_delta_e241_280,30,-0.6971344951273044,-0.6640035339581041,avrane
val_vxc_delta_e241_280,30,-0.6824215651084755,-0.658610611854891,avrane
val_vxc_delta_e441_500,30,-0.5951726138062808,-0.6480533926585095,wtmad
val_exc_mean_e73_160,30,0.6644856294751998,0.6362707601211081,avrane
train_exc_mean_e241_280,30,0.6151752457055908,0.6163660553797223,avrane
train_fchem_delta_e1_72,30,-0.6924107281085431,-0.5793960606444092,avrane
val_exc_mean_e241_280,30,0.6133899606185805,0.5637850648733953,avrane
val_fchem_delta_e1_72,30,-0.5999891541433843,-0.5613562565584111,avrane
train_fchem_mean_e241_280,30,-0.5813325786191074,-0.5561450918938435,avrane
train_fchem_mean_e1_72,30,0.6786441648659041,0.5539281019347648,avrane
train_fchem_delta_e241_280,30,-0.5973326994899754,-0.5476062985637562,avrane
train_vxc_delta_e1_72,30,0.6820792442847637,0.5470305297842362,avrane
val_vxc_mean_e1_72,30,0.6864590073611578,0.5470305297842362,avrane
val_vxc_delta_e1_72,30,0.6829721557988486,0.5470305297842362,avrane
train_exc_delta_e1_72,30,-0.6647185899999501,-0.5470305297842362,avrane
val_exc_delta_e1_72,30,0.40229730411669196,0.5462346560745598,wtmad
train_vxc_mean_e1_72,30,0.6865776622305297,0.5454387823648834,avrane
train_vxc_delta_e241_280,30,-0.38728597150803096,-0.5401910306718383,wtmad
train_vxc_mean_e161_240,30,0.5595014732130679,0.5366890386871963,wtmad
val_vxc_mean_e161_240,30,0.5591201093019937,0.5366890386871963,wtmad
train_fchem_mean_e73_160,30,0.5370827214961568,0.5363544772579835,wtmad
train_exc_mean_e1_72,30,0.6374019734735933,0.5348271329025316,avrane
val_vxc_delta_e241_280,30,-0.3934245656659894,-0.526259315238538,wtmad
train_fchem_delta_e161_240,30,-0.21940511193175466,-0.525745911125312,wtmad
train_exc_delta_e73_160,30,-0.47113530784121155,-0.5165163775127627,wtmad
train_fchem_std_last20,30,0.46495204753377967,0.5119021134593993,wtmad
train_exc_mean_e1_72,30,0.4782137723895103,0.5011351458595645,wtmad
val_exc_delta_e1_72,30,0.36284040823556274,0.5003392721498882,avrane
val_fchem_delta_e241_280,30,-0.49522984272466825,-0.4977217691090357,avrane
train_vxc_mean_e73_160,30,0.5193191640187819,0.4966782777675418,wtmad
val_vxc_mean_e73_160,30,0.5181095540362356,0.4966782777675418,wtmad
train_fchem_slope_last20,30,-0.4499176108721014,-0.47408231368186876,wtmad
train_fchem_mean_e1_72,30,0.5201721080263657,0.4634637902682156,wtmad
train_fchem_delta_e1_72,30,-0.4953061734124216,-0.462933207795098,wtmad
train_vxc_delta_e1_72,30,0.5140278129389484,0.4533827232789814,wtmad
val_vxc_mean_e1_72,30,0.5174410409708697,0.4533827232789814,wtmad
val_vxc_delta_e1_72,30,0.5123668622404823,0.4533827232789814,wtmad
train_exc_delta_e1_72,30,-0.5199915061255505,-0.4533827232789814,wtmad
val_fchem_delta_e73_160,30,0.4060507155770105,0.44635724426746937,wtmad
val_fchem_delta_e1_72,30,-0.417018079545991,-0.44330165628974716,wtmad
val_fchem_mean_e241_280,30,0.28511771119058177,0.4422196124634683,wtmad
train_vxc_mean_e1_72,30,0.5153693456211421,0.43799583155857125,wtmad
val_exc_delta_e241_280,30,-0.413062675871135,-0.4222208596640533,avrane
train_vxc_delta_e161_240,30,-0.3140376069782383,-0.4167904236613333,avrane
val_vxc_delta_e161_240,30,-0.27852383477478765,-0.4139356947321461,avrane
train_exc_delta_e73_160,30,-0.3901822810623019,-0.4112776776448227,avrane
train_fchem_delta_e73_160,30,0.441959993313888,0.40571333259433395,wtmad
val_fchem_delta_e73_160,30,0.5478646961686794,0.39918127536115144,avrane
val_fchem_min,30,-0.23718849512040427,-0.3955710121262573,avrane
train_fchem_delta_e161_240,30,-0.20974044475015166,-0.39347680407297103,avrane
val_exc_min,30,0.4288053513872979,0.38954393770856505,avrane
train_vxc_mean_e161_240,30,0.6164075492994363,0.38871892252432566,avrane
val_vxc_mean_e161_240,30,0.6180722021227264,0.38871892252432566,avrane
train_vxc_mean_e73_160,30,0.6767474595442226,0.38660101698613336,avrane
val_vxc_mean_e73_160,30,0.6785649841947663,0.38660101698613336,avrane
val_vxc_slope_last20,30,-0.4900044936643353,-0.3864293659621802,wtmad
train_vxc_mean_e241_280,30,0.4916466488186951,0.38244805915285723,wtmad
train_fchem_mean_e281_420,30,-0.2603324294309776,-0.37895592230172365,avrane
val_exc_delta_e441_500,30,-0.4147295964948347,-0.37619577308120133,avrane
val_exc_mean_last20,30,0.3913218258904003,0.37263626251390436,avrane
train_exc_delta_e241_280,30,-0.4718994484655459,-0.366493997930852,avrane
val_vxc_mean_e241_280,30,0.49089279599748553,0.36626929284321813,wtmad
train_vxc_mean_e241_280,30,0.5085000493677809,0.36424694705451327,avrane
val_vxc_std_last20,30,0.4955990711206558,0.36329254727474974,wtmad
val_exc_mean_e161_240,30,0.22889697436752354,0.36302636216164075,wtmad
val_exc_final,30,0.3905916585531703,0.3628476084538376,avrane
val_fchem_mean_last20,30,-0.40708192807875265,-0.3526140155728587,avrane
val_vxc_mean_e241_280,30,0.5155389244075284,0.35256228249755167,avrane
val_fchem_mean_e1_72,30,-0.20675007775234225,-0.35177617967696273,avrane
train_exc_mean_e281_420,30,0.373030423316624,0.3511837388706281,avrane
train_exc_mean_e161_240,30,0.24931975550692723,0.34922850567056923,wtmad
val_fchem_mean_e161_240,30,0.2521172550284636,0.3487527175157047,wtmad
train_fchem_mean_e161_240,30,-0.43572044616628225,-0.3439948359670593,avrane
val_fchem_delta_e441_500,30,-0.34316710991528,-0.3437152391546162,wtmad
val_fchem_mean_e161_240,30,-0.2571597245547656,-0.3397127425732785,avrane
val_exc_delta_e161_240,30,0.26888129342038936,0.3378095899538204,avrane
val_exc_mean_e281_420,30,0.3271700619378878,0.3278909398639027,avrane
val_fchem_final,30,-0.39286054609545384,-0.3268075639599555,avrane
train_exc_mean_e73_160,30,0.4577817636108735,0.3253932214307568,wtmad
val_exc_std_last20,30,0.32463545862601534,0.32413793103448274,avrane
train_fchem_final,30,-0.28755180019337767,-0.3210233592880979,avrane
train_fchem_min,30,-0.243138985464258,-0.3170189098998888,avrane
val_fchem_delta_e161_240,30,0.033540401034467884,0.3159233348300517,avrane
train_fchem_mean_last20,30,-0.29205122580944426,-0.31523915461624025,avrane
train_fchem_mean_e441_500,30,-0.28892761322136284,-0.31301446051167964,avrane
train_exc_std_last20,30,0.21127983034332587,0.31123470522803115,avrane
train_fchem_std_last20,30,0.2801142924500798,0.30411568409343714,avrane
train_fchem_mean_e421_440,30,-0.18548127229206207,-0.2974746931301141,avrane
train_fchem_mean_e73_160,30,0.13847195514844882,0.2951522157215787,avrane
val_fchem_mean_e73_160,30,0.3129730482796734,0.2946683596302318,avrane
train_fchem_mean_e161_240,30,0.30383178013725276,0.29213392708682495,wtmad
train_exc_slope_last20,30,-0.21692903052297519,-0.28631813125695216,avrane
val_vxc_delta_e73_160,30,-0.46435349745130555,-0.28474930975762136,wtmad
val_exc_mean_e441_500,30,0.41966856834683836,0.2832035595105673,avrane
val_exc_delta_e73_160,30,-0.38999563608613547,-0.28233002930088713,wtmad
train_vxc_delta_e441_500,30,-0.37804876212335564,-0.2809788654060067,avrane
val_fchem_mean_e441_500,30,-0.3588454259089745,-0.2805339265850946,avrane
val_fchem_mean_e281_420,30,0.4145649514932441,0.279961526523141,wtmad
train_vxc_delta_e73_160,30,-0.4812524718788681,-0.2760399001133781,wtmad
val_exc_mean_e73_160,30,0.287459923418393,0.2750721879306844,wtmad
val_vxc_std_last20,30,0.25920592833951234,0.27030033370411566,avrane
val_exc_slope_last20,30,-0.24909046553782566,-0.26852057842046717,avrane
val_exc_delta_e441_500,30,-0.49905143531726115,-0.26407119021134595,wtmad
val_fchem_slope_last20,30,-0.3215486174154974,-0.25873192436040043,wtmad
train_fchem_slope_last20,30,-0.052563768428384464,-0.25027808676307006,avrane
val_exc_delta_e161_240,30,-0.03332173070733364,-0.25026456945874576,wtmad
train_fchem_delta_e241_280,30,-0.24364866984469677,-0.24942264727360253,wtmad
val_fchem_mean_e73_160,30,0.36969433146568415,0.24894395899795446,wtmad
val_fchem_delta_e441_500,30,-0.29188612776060774,-0.2347052280311457,avrane
val_fchem_delta_e241_280,30,-0.19182350732546039,-0.22650272833494717,wtmad
val_vxc_min,30,-0.0496231459749513,-0.21893109342907607,avrane
val_exc_mean_e241_280,30,0.2715531267021058,0.21886275535539537,wtmad
val_vxc_delta_e441_500,30,-0.33718821157541695,-0.2,avrane
train_vxc_min,30,-0.04226877060556842,-0.19888653757086971,avrane
val_fchem_mean_e1_72,30,-0.10643561555464148,-0.1965808062900674,wtmad
val_exc_std_last20,30,0.30776461318077775,0.19199110122358176,wtmad
train_exc_mean_e241_280,30,0.2742223928284368,0.18965109396299148,wtmad
train_exc_delta_e441_500,30,-0.39818170121534735,-0.18798665183537264,avrane
val_fchem_mean_e421_440,30,0.3164589439574804,0.1811102469767486,wtmad
train_exc_mean_e441_500,30,0.3564334538136292,0.18086763070077863,avrane
train_fchem_delta_e441_500,30,0.13600066442646722,0.17196885428253614,avrane
train_vxc_mean_e421_440,30,0.007600500192592987,-0.17154299805782947,avrane
val_vxc_mean_e421_440,30,0.00945190014448896,-0.17154299805782947,avrane
train_exc_mean_last20,30,0.23480273998650159,0.17018909899888765,avrane
train_exc_min,30,0.23019869703940293,0.16974416017797553,avrane
train_exc_final,30,0.2367540765795541,0.16840934371523916,avrane
train_vxc_final,30,-0.011510799463420835,-0.16751946607341492,avrane
train_vxc_mean_last20,30,-0.011618736535300172,-0.16751946607341492,avrane
val_vxc_final,30,-0.009936226508696378,-0.16751946607341492,avrane
train_vxc_mean_e441_500,30,-0.007101942241156275,-0.16307007786429367,avrane
val_vxc_mean_last20,30,-0.00992687529775654,-0.16307007786429367,avrane
val_vxc_mean_e441_500,30,-0.006145205880308152,-0.16307007786429367,avrane
train_exc_mean_e421_440,30,0.08251138829216577,0.16041829001257463,avrane
val_fchem_delta_e161_240,30,0.013788019619922275,0.15938903187961947,wtmad
val_exc_mean_e161_240,30,0.1378746950450667,0.15796166741502585,avrane
val_fchem_std_last20,30,0.1606044817148362,0.1532814238042269,wtmad
train_vxc_mean_e281_420,30,0.04617082035285307,-0.15274700887102574,avrane
val_vxc_mean_e281_420,30,0.04800780815841918,-0.15274700887102574,avrane
val_exc_delta_e73_160,30,-0.3554938808244116,-0.15096310050021727,avrane
val_fchem_slope_last20,30,0.12354922713324594,0.14616240266963293,avrane
val_fchem_final,30,-0.32882650210856645,-0.14482758620689656,wtmad
val_exc_mean_last20,30,0.23272371891346746,0.14304783092324805,wtmad
val_fchem_mean_last20,30,-0.3281310142384612,-0.14171301446051168,wtmad
val_exc_mean_e1_72,30,-0.055948934046649204,0.14086964661272036,wtmad
val_exc_mean_e421_440,30,0.11982832786232239,0.14039381553111593,avrane
val_exc_final,30,0.22088563326130012,0.13948832035595105,wtmad
train_vxc_slope_last20,30,0.03239700956081554,-0.13815350389321468,avrane
val_exc_delta_e241_280,30,-0.16171719631454368,-0.1366206932813967,wtmad
train_vxc_delta_e281_420,30,-0.13877861737196293,-0.13527740961598173,avrane
val_vxc_delta_e281_420,30,-0.1470465524771093,-0.13527740961598173,avrane
train_fchem_delta_e441_500,30,0.13472880376369428,0.13370411568409343,wtmad
val_exc_min,30,0.23085374869467115,0.1332591768631813,wtmad
train_vxc_std_last20,30,0.01341472375542018,-0.13058954393770855,avrane
train_exc_mean_e281_420,30,-0.04088413272970645,-0.12228719478530799,wtmad
val_exc_mean_e281_420,30,-0.07864311796490514,-0.12139131790043393,wtmad
val_exc_mean_e1_72,30,-0.1895331196724222,-0.12044222139769312,avrane
val_fchem_std_last20,30,-0.09758451371417905,-0.11946607341490545,avrane
train_vxc_delta_e161_240,30,-0.03789262598751376,-0.11514073347721764,wtmad
val_vxc_delta_e161_240,30,-0.027633607114537502,-0.11371336901262404,wtmad
val_fchem_min,30,0.25974150658158807,0.10961876997025188,wtmad
train_exc_delta_e281_420,30,-0.12956324904877128,0.1084011030697602,wtmad
val_exc_mean_e441_500,30,0.48204561452921957,0.10255839822024472,wtmad
train_vxc_slope_last20,30,0.16601281419767835,-0.10122358175750834,wtmad
val_exc_delta_e281_420,30,-0.12174813833892387,0.08152479652353865,wtmad
train_fchem_mean_e241_280,30,0.10966833035146901,0.07190562804284037,wtmad
val_fchem_delta_e281_420,30,-0.012177248027150403,-0.06763870480799086,wtmad
train_exc_delta_e241_280,30,-0.19145749077348068,-0.06471506523855633,wtmad
val_fchem_mean_e441_500,30,-0.26670172455290275,-0.06340378197997776,wtmad
val_fchem_mean_e241_280,30,-0.07416669801744749,-0.06134448892404819,avrane
train_fchem_final,30,0.06287274762761347,0.058954393770856504,wtmad
train_fchem_mean_last20,30,0.09460233265336902,0.05494994438264739,wtmad
train_exc_std_last20,30,0.2664699777860434,-0.054505005561735265,wtmad
train_fchem_mean_e441_500,30,0.07716702958712268,0.05272525027808676,wtmad
train_fchem_mean_e281_420,30,0.2729158001561359,0.04837735178319876,wtmad
train_fchem_delta_e281_420,30,0.29809083030955047,0.04300209047395446,wtmad
val_vxc_min,30,0.2124283309405283,0.04298443645148696,wtmad
train_vxc_mean_e281_420,30,0.32687316437628955,0.0403144598193323,wtmad
val_vxc_mean_e281_420,30,0.3252822684745293,0.0403144598193323,wtmad
train_fchem_min,30,0.16122118338738234,0.0389321468298109,wtmad
val_fchem_mean_e281_420,30,0.0679446006161588,0.0385227060495842,avrane
train_exc_delta_e281_420,30,-0.17145949683009712,0.03449126006765097,avrane
train_fchem_mean_e421_440,30,0.20328701937916419,0.03337412413576449,wtmad
val_fchem_mean_e421_440,30,0.07433112502343947,-0.03181666500942881,avrane
train_vxc_delta_e281_420,30,0.13166091688821147,0.03135569097059179,wtmad
val_vxc_delta_e281_420,30,0.1268487803346206,0.03135569097059179,wtmad
train_vxc_min,30,0.20707393769024204,0.02204901144402699,wtmad
train_vxc_std_last20,30,0.23247538615513458,0.020689655172413793,wtmad
val_exc_slope_last20,30,-0.14481346728493596,0.020689655172413793,wtmad
val_vxc_slope_last20,30,-0.030116683105489362,-0.019799777530589546,avrane
train_exc_delta_e161_240,30,0.013215636844467167,0.018079949884852356,wtmad
train_fchem_delta_e281_420,30,0.09940701371267958,0.017469599255044,avrane
val_exc_mean_e421_440,30,0.17314506330970514,0.017354544550597532,wtmad
train_vxc_mean_e421_440,30,0.26365332542562864,0.016464567906977146,wtmad
val_vxc_mean_e421_440,30,0.2630639179686585,0.016464567906977146,wtmad
train_vxc_mean_e441_500,30,0.2264655994705024,0.016240266963292546,wtmad
val_vxc_mean_last20,30,0.21851332931709855,0.016240266963292546,wtmad
val_vxc_mean_e441_500,30,0.22676888567457198,0.016240266963292546,wtmad
train_exc_delta_e441_500,30,-0.48390796590364843,-0.015350389321468299,wtmad
train_fchem_delta_e73_160,30,0.05254503296170102,-0.014999538831752358,avrane
val_exc_delta_e281_420,30,-0.2408079610674589,-0.014781968600421845,avrane
train_vxc_final,30,0.21719346328076902,0.01268075639599555,wtmad
train_vxc_mean_last20,30,0.2172816608489485,0.01268075639599555,wtmad
val_vxc_final,30,0.21841268516290602,0.01268075639599555,wtmad
train_exc_mean_last20,30,0.13657049136217522,0.00778642936596218,wtmad
val_fchem_delta_e281_420,30,0.040719252708117035,0.005823199751681333,avrane
train_exc_final,30,0.13329252055274785,0.005116796440489433,wtmad
train_exc_min,30,0.1270089621805121,0.005116796440489433,wtmad
train_exc_mean_e441_500,30,0.4095912500032191,0.0046718576195773085,wtmad
train_exc_slope_last20,30,-0.25983245277528305,0.0020022246941045607,wtmad
train_exc_mean_e421_440,30,0.12226865751244753,0.0,wtmad
