component,max,min,n,range,spearman_with_wtmad
rho,0.46714814181920045,0.420327212780016,29,0.046820929039184445,-0.022660098522167486
grad,0.4098975365105704,0.38571292926302114,29,0.024184607247549283,0.3246305418719212
lapl,0.6112355402346537,0.5584540754644876,29,0.0527814647701661,0.03645320197044335
