mean_niad,n,range_niad,spearman_with_total_avrane,spearman_with_wtmad,system
0.13250871806478473,29,0.02295768767897602,0.4724137931034483,0.007881773399014778,F2
0.11195094064807308,29,0.01452851504179302,0.4625615763546798,0.022660098522167486,HF
0.10888353330488908,29,0.010854101442782815,0.6758620689655173,0.13645320197044336,LiF
0.12310048977017053,29,0.009808549803416153,0.34285714285714286,0.025123152709359605,N2
0.11623981095820456,29,0.009359421386179984,0.5822660098522168,0.07832512315270936,CO
0.08937908203715525,29,0.008759866987728418,0.7940886699507389,0.5221674876847291,BH3
0.10390139434804165,29,0.007778808443358848,0.4876847290640394,0.033497536945812804,H2O
0.09024586881055979,29,0.00654306585080211,0.8645320197044335,0.6251231527093596,Li2
0.07704124861765531,29,0.005887470854212151,0.9113300492610837,0.4684729064039409,LiH
0.03940209110271603,29,0.004189641901398838,0.7182266009852217,0.16798029556650246,H2
